Player,player_id,team,date,home,opponent,win,team_pts,opp_pts,minutes,fgmade,fgatt,made3,att3,made1,att1,offrb,defrb,totrb,assist,steal,block,turnover,fouls,points,efficiency,,
Candace Parker,3,LAS,803,1,CON,1,70,69,35,4,8,0,0,1,1,1,3,4,0,4,1,2,2,9,12,,
Candace Parker,3,LAS,805,1,TUL,0,90,96,36,7,17,1,3,13,14,0,4,4,9,0,2,1,5,28,31,,
Candace Parker,3,LAS,808,1,ATL,1,80,77,38,10,16,0,2,6,7,1,7,8,4,1,1,6,1,26,27,,
Candace Parker,3,LAS,810,0,SAN,0,76,82,26,3,12,0,2,0,0,2,7,9,3,0,0,0,1,6,9,,
Candace Parker,3,LAS,812,0,MIN,1,71,63,33,7,19,0,4,2,2,1,10,11,2,0,2,3,3,16,16,,
Candace Parker,3,LAS,815,1,SEA,1,77,65,33,9,12,1,2,5,5,0,7,7,6,3,1,2,0,24,36,,
Angel McCoughtry,4,ATL,516,1,SAN,1,79,75,34,8,14,0,3,5,7,2,4,6,5,1,0,3,2,21,22,,
Angel McCoughtry,4,ATL,517,0,IND,1,90,88,39,9,15,2,3,7,8,1,3,4,5,6,0,5,2,27,30,,
Angel McCoughtry,4,ATL,525,1,IND,0,77,82,37,7,15,2,7,3,5,0,6,6,4,2,0,4,5,19,17,,
Angel McCoughtry,4,ATL,530,1,SEA,1,80,69,35,8,20,1,5,1,1,0,4,4,8,2,0,6,4,18,14,,
Angel McCoughtry,4,ATL,601,0,CON,0,76,85,22,2,14,1,4,2,2,0,3,3,2,1,0,1,1,7,0,,
Angel McCoughtry,4,ATL,603,1,LAS,1,93,85,28,5,11,0,2,4,4,1,3,4,5,3,0,2,6,14,18,,
Angel McCoughtry,4,ATL,607,1,CHI,1,97,59,25,6,10,3,3,5,6,1,4,5,0,3,0,3,1,20,20,,
Angel McCoughtry,4,ATL,613,1,MIN,1,85,82,36,7,20,3,4,6,7,2,4,6,5,1,1,3,1,23,19,,
Angel McCoughtry,4,ATL,615,0,WAS,1,75,67,34,4,15,0,4,8,8,3,2,5,5,3,0,2,3,16,16,,
Angel McCoughtry,4,ATL,618,1,WAS,1,83,73,37,10,22,0,2,7,7,4,2,6,4,3,0,5,5,27,23,,
Angel McCoughtry,4,ATL,620,1,NYL,1,85,64,25,8,19,0,2,2,2,3,3,6,6,1,1,2,2,18,19,,
Angel McCoughtry,4,ATL,622,0,NYL,0,78,85,24,10,25,3,5,10,11,8,2,10,2,4,0,2,4,33,31,,
Angel McCoughtry,4,ATL,626,0,SAN,1,81,79,29,7,16,1,3,3,4,2,5,7,3,1,0,1,0,18,18,,
Angel McCoughtry,4,ATL,629,0,IND,1,76,68,35,8,18,1,3,3,5,2,2,4,4,4,1,2,1,20,19,,
Angel McCoughtry,4,ATL,701,1,IND,0,70,77,34,6,18,0,3,5,6,2,6,8,4,1,0,4,3,17,13,,
Angel McCoughtry,4,ATL,705,1,WAS,1,86,73,25,5,14,1,4,5,5,1,2,3,5,1,0,4,4,16,12,,
Angel McCoughtry,4,ATL,708,1,CON,1,83,71,29,8,14,0,0,6,8,3,3,6,4,1,0,4,2,22,21,,
Angel McCoughtry,4,ATL,712,0,IND,1,93,74,33,4,13,0,2,3,4,3,1,4,4,4,1,4,3,11,10,,
Angel McCoughtry,4,ATL,713,1,CHI,1,81,79,42,13,28,1,4,6,10,4,6,10,4,2,1,6,5,33,25,,
Angel McCoughtry,4,ATL,716,0,NYL,0,75,77,34,6,14,1,5,7,8,2,7,9,9,3,1,6,2,20,27,,
Angel McCoughtry,4,ATL,722,0,MIN,0,108,112,43,9,24,1,9,2,4,0,5,5,5,1,2,2,6,21,15,,
Angel McCoughtry,4,ATL,725,1,CHI,0,75,79,35,5,17,0,2,2,2,1,1,2,1,6,0,7,3,12,2,,
Angel McCoughtry,4,ATL,727,0,WAS,0,67,77,30,5,17,0,3,2,2,2,2,4,6,2,0,2,3,12,10,,
Angel McCoughtry,4,ATL,729,1,CON,1,89,80,31,10,16,1,1,4,5,1,6,7,2,4,1,4,2,25,28,,
Angel McCoughtry,4,ATL,731,0,TUL,1,85,75,32,8,13,1,2,4,5,0,2,2,2,1,1,11,2,21,10,,
Angel McCoughtry,4,ATL,803,1,NYL,0,76,83,33,8,16,4,6,8,10,1,5,6,2,5,1,3,4,28,29,,
Angel McCoughtry,4,ATL,805,0,PHO,0,67,75,26,7,16,2,5,3,4,2,1,3,1,2,1,2,5,19,14,,
Angel McCoughtry,4,ATL,807,0,SEA,0,68,88,21,0,5,0,1,2,4,0,2,2,0,1,0,1,0,2,-3,,
Angel McCoughtry,4,ATL,808,0,LAS,0,77,80,34,5,20,0,5,2,2,2,7,9,1,3,0,6,6,12,4,,
Angel McCoughtry,4,ATL,815,1,TUL,1,92,76,16,4,6,1,1,3,4,0,4,4,3,1,0,5,2,12,12,,
Angel McCoughtry,4,ATL,817,0,CON,0,55,84,22,4,6,1,2,1,2,0,2,2,2,1,0,4,4,10,8,,
Tina Charles,5,NYL,516,0,CON,1,75,54,24,3,9,0,0,3,3,1,8,9,0,1,1,1,3,9,13,,
